주식구분	국가	거래일	증권사	종목명	계좌유형	거래유형	분배주기	매입주가	수량	매수금액	매도금액	적용환율
개별주식	USA	2025-11-07	키움증권	VTI-USA	일반계좌	매수	분기	335.9700	300	100,791	0.00	1,427.40
ETF주식	USA	2025-11-07	키움증권	VGT-IT	일반계좌	매수	분기	797.9200	20	15,958	0.00	1,427.40
ETF주식	USA	2025-11-07	키움증권	SOXX-반도체	일반계좌	매수	분기	309.4200	100	30,942	0.00	1,427.40
ETF주식	USA	2025-11-07	키움증권	VOO-S&P500	일반계좌	매수	분기	628.9475	100	62,895	0.00	1,427.40
ETF주식	USA	2025-11-07	키움증권	QQQ-인베스코 ETF	일반계좌	매수	분기	633.1300	100	63,313	0.00	1,427.40
ETF주식	USA	2025-11-03	한국투자증권	ACE 미국빅테크TOP7 PLUS	연금저축계좌	매수	분기	23,085	390	9,003,150	0.00	0.00
ETF주식	USA	2025-11-03	한국투자증권	TIGER 미국테크TOP10 INDXX	연금저축계좌	매수	분기	31,200	290	9,048,000	0.00	0.00
ETF주식	USA	2025-10-01	키움증권	QQQ-인베스코 ETF	일반계좌	매수	분기	870,068	58	50,463,944	0.00	0.00
ETF주식	USA	2025-10-01	키움증권	SMH-반도체	일반계좌	매수	없음	493,731	66	32,586,246	0.00	0.00
ETF주식	KOR	2025-10-01	키움증권	QQQM-나스닥100 인베스코 ETF	일반계좌	매수	분기	358,238	22	7,881,236	0.00	0.00
ETF주식	KOR	2025-10-01	키움증권	TSLA-테슬라	일반계좌	매수	없음	632,780	2	1,265,560	0.00	0.00
ETF주식	KOR	2025-09-01	한국투자증권	KODEX 미국AI테크TOP10커버드콜	비과세저축계좌	매수	월말	12,042	2,701	32,525,442	0.00	0.00
ETF주식	KOR	2025-09-01	한국투자증권	RISE 200위클리커버드콜	비과세저축계좌	매수	월말	9,365	1,686	15,789,390	0.00	0.00
ETF주식	KOR	2025-09-01	한국투자증권	RISE 미국AI밸류체인데일리고정커버드콜	비과세저축계좌	매수	월말	14,140	2,500	35,350,000	0.00	0.00
ETF주식	USA	2025-09-01	한국투자증권	KODEX 200타겟위클리커버드콜	일반배당계좌	매수	월중	11,528	3,000	34,584,000	0.00	0.00
ETF주식	KOR	2025-09-01	한국투자증권	RISE 200위클리커버드콜	일반배당계좌	매수	월말	10,724	1,863	19,978,812	0.00	0.00
ETF주식	KOR	2023-09-01	한국투자증권	TIGER 미국나스닥100	ISA	매수	분기	91,530	50	4,576,500	0.00	0.00
ETF주식	KOR	2023-09-01	한국투자증권	TIGER 미국S&P500	ISA	매수	분기	15,008	687	10,310,496	0.00	0.00
ETF주식	KOR	2023-09-01	한국투자증권	ACE 미국빅테크TOP7 PLUS	ISA	매수	분기	15,700	332	5,212,400	0.00	0.00
ETF주식	KOR	2023-09-01	한국투자증권	TIGER 미국S&P500	연금저축계좌	매수	분기	14,953	603	9,016,659	0.00	0.00
ETF주식	USA	2023-09-01	한국투자증권	TIGER 미국나스닥100	연금저축계좌	매수	분기	88,943	987	87,786,741	0.00	0.00
ETF주식	USA	2023-09-01	NH증권	SPYM-S&P500	일반계좌	매수	분기	70,701	300	21,210,300	0.00	0.00
ETF주식	USA	2023-08-31	키움증권	TSLA-테슬라	일반계좌	매수	없음	266,134	48	12,774,432	0.00	0.00
개별주식	USA	2023-08-31	키움증권	SMH-반도체	일반계좌	매수	없음	389,320	42	16,351,440	0.00	0.00
ETF주식	KOR	2023-08-31	키움증권	QQQM-나스닥100 인베스코 ETF	일반계좌	매수	분기	318,854	50	15,942,700	0.00	0.00
ETF주식	KOR	2023-08-31	키움증권	SMH-반도체	일반계좌	매수	없음	274,110	125	34,263,750	0.00	0.00
ETF주식	USA	2023-08-31	키움증권	QQQ-인베스코 ETF	일반계좌	매수	분기	608,191	37	22,503,067	0.00	0.00
ETF주식	USA	2023-08-31	키움증권	QQQM-나스닥100 인베스코 ETF	일반계좌	매수	분기	253,730	28	7,104,440	0.00	0.00
ETF주식	USA	2023-08-31	키움증권	TQQQ-3X레버리지	일반계좌	매수	분기	81,444	26	2,117,544	0.00	0.00
ETF주식	USA	2023-08-31	키움증권	SMH-반도체	일반계좌	매수	없음	280,356	25	7,008,900	0.00	0.00
ETF주식	USA	2023-08-31	키움증권	SMH-반도체	일반계좌	매수	없음	283,522	41	11,624,402	0.00	0.00